154,-,-,-,-,-,+,-,+,-,+,+,1
155,-,-,-,-,-,+,+,+,+,+,+,1
156,-,+,-,-,-,+,+,+,+,+,+,1
157,+,+,0,0,0,0,0,0,-,0,0,0
158,-,-,0,-,-,-,-,+,0,+,0,1
159,+,+,+,+,+,+,+,+,+,+,-,0
160,-,-,-,-,-,0,+,+,+,+,+,1
161,+,+,+,+,+,+,-,+,+,0,+,0
162,-,+,+,+,+,+,+,+,+,+,-,1
163,+,+,+,+,+,+,+,+,+,+,-,0
164,+,+,+,+,+,+,0,+,+,+,+,0
165,+,+,+,+,+,+,+,+,+,0,+,0
166,-,+,-,-,-,-,-,+,+,+,+,1
167,-,+,-,+,+,0,+,+,+,+,+,1
168,-,-,0,-,-,+,-,+,+,+,0,1
169,+,+,+,+,+,+,+,+,+,+,+,0
170,-,+,-,0,+,+,+,+,+,+,-,1
171,+,+,+,+,+,+,+,+,+,+,+,0
172,+,+,+,+,+,+,+,+,+,+,-,0
173,+,+,+,+,+,+,+,+,+,+,+,0
174,+,+,+,+,+,-,-,+,-,+,-,0
175,+,+,+,+,+,+,+,+,+,+,+,0
176,+,+,-,+,+,+,+,+,+,+,+,1
177,-,-,-,-,-,+,+,+,+,+,+,1
178,-,-,-,-,-,-,-,+,+,+,+,1
179,+,+,+,+,+,+,-,+,-,+,-,0
180,-,+,-,-,-,+,+,+,+,0,+,1
181,-,-,-,-,-,-,-,+,-,0,+,1
182,+,+,+,+,+,+,+,+,+,+,-,0
183,-,-,-,-,+,+,-,+,+,+,-,1
184,-,0,-,-,-,+,+,+,-,+,+,1
185,-,+,-,-,-,+,0,0,+,+,+,1
186,-,-,-,-,-,-,-,+,-,+,+,1
187,-,+,-,-,-,+,+,+,+,+,+,1
188,-,+,+,-,-,-,+,+,+,+,+,1
189,-,-,-,-,-,-,-,+,+,+,-,1
190,+,+,0,+,+,+,+,+,+,+,-,0
191,-,-,-,-,-,-,-,+,-,+,+,1
192,+,+,+,+,+,+,+,+,+,+,-,0
193,-,-,-,-,-,+,+,+,+,+,+,1
194,+,+,+,+,0,+,+,+,+,+,+,0
195,+,+,+,+,+,+,-,+,+,+,-,0
196,-,+,-,0,-,-,-,+,+,+,+,1
197,-,+,-,-,+,-,+,+,+,+,-,1
198,+,+,+,+,+,+,+,+,+,+,+,0
199,+,+,+,+,+,+,+,+,+,+,+,0
200,-,-,-,-,-,0,-,-,-,+,+,1
201,+,+,+,+,+,+,+,+,+,+,+,0
202,+,+,+,+,+,+,+,+,+,+,-,0
203,+,+,-,+,+,+,+,+,+,+,-,0
204,-,-,0,-,-,+,-,+,+,+,+,1
205,-,-,-,-,-,-,-,+,-,+,-,1
206,+,+,+,+,+,+,+,+,+,+,-,0
207,+,+,+,+,+,+,+,+,+,+,+,0
208,-,-,-,-,-,-,-,+,-,+,+,1
209,-,-,-,-,-,-,-,+,-,+,+,1
210,+,+,+,+,+,+,+,+,+,+,+,0
211,+,+,+,+,+,+,+,+,+,+,+,0
212,-,-,-,-,-,-,-,+,+,+,-,1
213,-,+,-,-,-,-,-,+,-,+,+,1
214,-,+,-,-,-,-,+,+,+,+,-,1
215,+,+,+,+,+,+,+,+,+,+,+,0
216,-,-,-,-,-,-,-,+,+,+,+,1
217,-,-,-,-,-,-,-,+,-,+,+,1
218,-,-,-,-,-,+,+,+,-,+,+,1
219,-,-,0,0,0,0,0,0,0,0,0,1
220,+,+,+,+,+,+,+,+,+,+,-,0
221,+,+,+,+,+,+,+,+,+,+,-,0
222,+,+,+,+,+,+,+,+,+,+,-,0
223,-,-,-,-,-,-,-,-,-,+,-,1
224,-,+,0,0,0,0,0,0,-,0,0,1
225,+,+,+,+,+,+,0,+,+,+,+,0
226,+,+,+,+,+,+,+,+,+,+,+,0
227,+,+,+,+,+,+,+,+,+,+,-,0
228,-,+,-,-,+,+,+,+,+,+,+,1
229,+,+,+,+,+,+,+,+,+,+,+,0
230,-,+,-,-,-,-,+,+,+,+,+,1
231,+,+,+,+,-,+,+,+,+,+,+,0
232,-,+,-,-,-,+,+,+,+,0,+,1
233,+,+,+,+,+,+,-,+,+,0,+,0
234,-,-,-,-,-,+,+,+,+,+,+,1
235,+,+,+,+,+,+,+,+,+,+,+,0
236,+,+,+,+,+,+,+,+,+,-,+,0
237,-,+,-,-,+,+,+,+,+,+,+,1
238,-,+,-,+,-,+,+,+,+,+,+,1
239,+,+,+,+,+,+,+,+,+,+,+,0
240,+,+,+,+,+,+,+,+,+,+,-,0
241,-,+,-,-,-,+,+,+,+,+,+,1
242,-,-,-,-,-,-,-,+,-,+,-,1
243,+,+,+,+,+,+,+,+,+,0,-,0
244,-,+,-,-,+,+,+,+,+,+,+,1
245,+,+,+,+,+,-,+,+,+,+,-,0
246,+,+,+,+,+,+,+,+,+,+,+,0
247,+,+,+,+,+,+,+,+,+,+,+,1
248,+,+,+,+,+,+,+,+,+,+,+,0
249,-,-,-,-,-,+,+,+,+,+,+,1
250,+,+,+,+,+,+,+,+,+,+,+,0
251,+,+,-,+,+,+,+,+,+,+,-,0
252,+,+,-,+,+,-,+,+,+,+,-,0
253,-,+,-,-,-,-,+,+,+,+,+,1
254,+,+,+,+,+,+,+,+,+,+,+,0
255,+,+,+,+,+,+,+,+,+,+,+,0
256,+,+,0,+,+,+,+,+,+,-,+,0
257,-,+,-,+,+,+,+,+,+,+,+,1
258,+,+,+,+,+,+,+,+,+,+,+,0
259,+,+,+,+,+,+,+,+,+,+,+,0
260,-,-,-,-,-,-,-,+,-,+,+,1
261,-,-,-,-,-,+,-,+,-,+,+,1
262,+,+,+,+,+,+,+,+,+,+,+,0
263,+,+,+,+,0,+,+,+,+,+,-,0
264,+,+,+,+,+,-,-,+,0,0,0,0
265,-,+,-,-,-,-,+,+,+,+,+,1
266,0,0,0,0,0,0,0,0,0,0,0,1
267,-,+,-,-,-,+,+,+,+,+,+,1
268,+,+,+,+,+,+,+,+,+,+,+,0
269,+,+,+,+,+,+,+,+,+,+,-,0
270,-,+,-,-,-,+,+,+,+,+,+,1
271,-,+,-,-,+,+,+,+,+,+,+,1
272,-,-,-,-,-,+,-,+,-,+,+,1
273,-,+,0,-,-,0,+,+,+,+,+,1
274,+,+,+,+,+,+,+,+,+,+,+,0
275,-,-,-,-,-,-,-,+,+,+,-,1
276,-,-,-,-,-,+,+,+,-,+,+,1
277,+,+,+,+,+,+,+,+,+,+,+,0
278,-,+,-,+,+,+,+,+,+,+,+,1
279,-,+,-,-,-,+,-,+,-,+,+,1
280,-,+,-,-,-,+,+,+,+,+,+,1
281,-,+,-,-,-,-,-,+,-,+,+,1
282,-,-,-,-,-,+,-,+,-,+,-,1
283,+,+,+,+,+,+,-,+,+,+,-,0
284,-,+,-,-,+,+,+,+,+,+,+,1
285,-,-,-,-,-,-,-,-,-,+,-,1
286,+,+,+,0,0,0,0,0,+,0,-,0
287,+,+,+,+,+,+,+,+,+,+,+,0
288,+,+,0,0,0,0,0,0,0,0,0,0
289,-,-,-,-,-,-,-,+,-,+,-,1
290,-,+,-,+,+,+,+,+,+,+,0,1
291,+,0,+,+,+,+,+,+,+,+,-,0
292,-,-,-,-,-,+,+,+,+,0,+,1
293,-,+,-,+,+,+,+,+,+,+,+,1
294,-,+,-,-,-,-,-,+,-,+,+,1
295,-,+,-,-,-,+,-,+,-,+,-,1
296,+,+,+,+,+,+,+,+,+,+,+,0
297,+,+,0,+,+,-,+,+,+,0,-,0
298,-,+,-,-,-,+,+,+,+,+,+,1
299,-,-,-,-,-,+,+,+,+,+,+,1
300,+,+,+,+,+,+,+,+,+,+,+,0
301,+,+,+,+,+,+,+,+,+,+,+,0
302,-,-,-,-,+,-,-,+,+,+,+,1
303,-,0,-,-,-,+,-,+,-,+,+,1
304,+,+,+,+,+,+,+,+,+,+,+,0
305,-,-,-,-,-,-,-,+,+,+,-,1
306,+,+,0,+,+,+,+,+,+,+,+,0
307,+,+,+,+,+,+,+,+,+,+,-,0
308,+,+,0,+,+,+,-,+,-,+,-,0
309,+,+,+,+,+,+,-,+,+,+,+,0
310,-,+,-,-,-,+,+,+,+,+,-,1
311,+,+,+,+,+,+,+,+,+,+,-,0
312,+,+,+,+,+,+,+,+,+,+,+,0
313,+,+,+,+,+,+,+,+,+,+,+,0
314,-,+,-,-,+,+,-,+,+,+,+,1
315,-,+,-,-,-,+,+,+,+,+,+,1
316,+,+,+,+,+,+,+,+,+,-,+,0
317,+,+,+,+,+,+,+,+,+,+,+,0
318,-,+,+,-,+,+,+,+,+,-,+,1
319,+,+,+,+,+,+,+,+,+,+,+,0
320,+,0,0,0,0,0,0,0,0,0,0,0
321,+,+,+,+,+,+,+,+,+,+,+,0
322,-,-,-,-,+,+,-,+,-,+,+,1
323,+,+,+,+,+,+,-,+,+,+,-,0
324,+,+,+,+,+,-,-,+,+,+,-,0
325,+,+,+,+,+,+,+,+,+,+,-,0
326,+,+,+,+,+,+,+,+,+,+,+,0
327,-,+,-,-,-,+,-,+,+,+,+,1
328,-,+,-,-,-,+,-,+,-,+,-,1
329,-,-,-,0,-,-,-,+,-,+,+,1
330,+,+,-,+,+,+,-,+,+,-,-,0
331,+,+,+,+,+,+,-,+,+,+,-,0
332,+,+,+,+,+,+,+,+,+,+,+,0
333,+,+,+,+,+,+,+,+,+,+,+,0
334,-,+,-,-,+,+,+,+,-,+,-,1
335,+,+,+,+,+,+,+,+,+,+,+,0
336,-,-,-,-,-,+,-,+,-,+,+,1
337,-,-,-,-,-,-,-,+,-,+,-,1
338,-,+,-,-,-,+,-,+,-,+,+,1
339,-,-,-,-,-,-,-,+,-,+,+,1
340,-,-,-,-,-,+,+,+,-,+,+,1
341,-,+,-,-,+,+,+,+,+,+,+,1
342,-,-,-,-,-,+,+,+,+,0,+,1
343,-,+,-,+,+,+,+,+,+,+,+,1
344,+,+,+,+,+,-,-,+,+,+,-,0
345,+,+,+,+,+,+,-,+,+,+,+,0
346,+,+,+,+,+,+,+,+,+,+,+,0
347,+,+,+,+,+,+,+,+,+,+,-,0
348,+,+,+,+,+,-,+,+,+,+,-,0
349,-,+,-,-,+,+,+,+,+,+,+,1
350,+,+,+,+,+,+,-,+,+,+,0,0
351,+,+,+,+,+,+,+,+,+,+,-,0
352,+,+,+,+,+,+,-,+,+,+,+,0
353,+,+,+,+,+,+,+,+,+,+,+,0
354,+,+,+,+,+,+,+,+,+,+,+,0
355,+,+,+,+,+,+,+,+,+,+,+,0
356,+,+,+,+,+,+,+,+,+,+,+,0
357,-,-,-,-,-,-,-,+,+,+,+,1
358,+,+,+,+,+,+,-,+,+,+,+,0
359,+,+,+,+,0,+,+,+,+,+,-,0
360,-,+,-,-,-,+,+,+,+,+,+,1
361,+,+,+,+,+,+,+,+,+,+,+,0
362,+,+,+,+,+,+,+,+,+,+,-,0
363,+,+,-,+,+,+,+,+,+,-,+,0
364,+,+,+,+,+,+,+,+,+,+,-,0
365,-,-,-,0,-,+,+,+,+,+,-,1
366,+,+,+,+,+,+,+,+,+,+,-,0
367,+,+,+,+,+,+,+,+,+,+,-,0
368,+,+,+,+,+,+,+,+,+,+,+,0
369,+,+,0,+,-,-,-,+,+,+,-,0
370,+,+,+,+,+,+,+,+,+,+,-,0
371,-,-,-,-,-,+,+,+,+,+,+,1
372,+,+,+,+,+,-,-,+,+,+,-,0
373,+,+,+,+,-,+,+,+,+,+,+,0
374,+,+,0,+,+,+,+,+,+,+,+,0
375,+,+,+,+,+,0,+,+,+,+,+,0
376,+,+,+,+,+,+,+,+,+,0,+,0
377,+,+,+,+,+,-,-,+,+,+,+,0
378,+,+,+,+,+,+,-,+,+,0,-,0
379,+,+,+,+,+,+,-,+,+,+,+,0
380,+,+,+,+,+,+,+,+,+,+,+,0
381,+,+,+,+,+,+,-,+,+,+,+,0
382,+,+,+,+,+,+,+,+,+,+,+,0
383,+,+,+,+,+,+,+,+,+,+,-,0
384,-,-,-,-,-,-,-,+,+,+,+,1
385,+,+,+,+,+,+,+,+,+,+,-,0
386,+,+,+,+,+,+,-,+,+,+,-,0
387,-,+,-,-,-,+,+,+,-,+,+,1
388,+,+,+,+,+,+,+,+,-,+,+,0
389,+,+,+,+,+,+,-,+,+,+,+,0
390,+,+,-,+,-,-,-,-,-,+,-,0
391,-,-,-,-,-,-,-,+,-,+,+,1
392,+,+,+,+,+,+,+,+,+,+,+,0
393,+,+,+,+,+,+,+,+,+,+,+,0
394,+,+,+,+,+,+,+,+,+,+,+,0
395,+,+,+,+,+,+,+,+,+,+,+,0
396,+,+,+,+,+,+,+,+,+,+,+,0
397,+,+,+,+,+,+,+,+,+,+,+,0
398,+,+,+,+,+,+,+,+,+,+,+,0
399,+,+,+,+,+,+,+,+,+,+,+,0
400,+,+,+,+,-,+,+,+,+,+,+,0
401,+,+,+,+,+,+,+,+,+,+,+,0
402,+,+,+,+,+,+,+,+,-,+,+,0
403,+,0,+,-,+,+,+,+,+,+,+,0
404,+,+,+,+,+,+,+,+,+,+,-,0
405,+,+,+,+,+,+,+,+,+,+,+,0
406,+,+,+,+,+,+,+,+,+,+,+,0
407,+,+,+,+,+,+,+,+,+,+,+,0
408,+,+,+,+,+,+,+,+,+,+,+,0
409,+,+,+,+,+,+,+,+,+,+,+,0
410,+,+,+,+,+,+,+,+,+,+,+,0
411,+,+,+,+,+,+,+,+,+,+,-,0
412,+,+,+,+,+,+,+,+,+,+,+,0
413,+,+,+,+,+,+,+,+,+,+,+,0
414,+,+,0,+,+,+,+,+,+,+,+,0
415,+,+,+,+,+,+,+,+,+,+,+,0
416,-,+,-,-,-,+,+,+,-,+,+,1
417,+,+,+,+,+,+,+,+,+,+,+,0
418,+,+,+,+,+,+,-,+,+,+,-,0
419,+,+,+,+,+,+,-,+,+,+,-,0
420,+,+,+,+,+,-,-,+,-,+,-,0
421,+,+,+,+,+,+,+,+,+,0,-,0
422,+,+,+,+,+,+,+,+,+,+,+,0
423,+,+,+,+,+,+,-,+,+,-,-,0
424,+,+,+,+,+,+,+,+,+,+,-,0
425,+,+,+,+,+,+,+,+,+,+,+,0
426,+,+,+,+,+,+,+,+,+,+,+,0
427,+,+,+,+,+,+,+,+,+,+,+,0
428,+,+,+,+,+,+,+,+,+,+,-,0
429,+,+,+,+,+,+,+,+,+,+,+,0
430,+,+,+,+,+,+,-,+,+,+,+,0
431,+,+,-,+,+,+,-,+,+,+,-,0
432,+,+,+,+,+,+,+,+,+,+,+,0
433,+,+,+,+,+,+,+,+,+,+,-,0
434,+,+,0,+,+,+,+,+,+,+,+,0
435,+,+,+,+,+,+,-,+,+,+,+,0
436,0,0,+,-,+,+,+,+,+,+,+,1
437,0,0,-,-,-,+,-,+,0,+,+,1
438,0,0,+,+,-,-,+,+,0,+,+,0
439,0,0,+,+,+,+,+,+,0,+,+,0
440,0,0,-,0,0,0,0,0,0,0,+,1
